                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2871,                 1.4237,                 1.3784,                0.74543,                0.62259,                0.69104,                0.40504,                 1.4137,                 1.3136,                 1.3024,               0.008317,               0.008317,               0.008317
                     36,                 1.2909,                  1.405,                 1.3678,                0.76596,                0.62166,                0.69752,                0.39645,                 1.4473,                 1.2804,                  1.319,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.2919,                 1.3967,                 1.3668,                0.74354,                  0.626,                0.69458,                0.41071,                 1.3908,                 1.2828,                 1.2888,               0.008218,               0.008218,               0.008218
                     38,                 1.2752,                 1.3841,                 1.3663,                0.73156,                0.61418,                0.68437,                0.40292,                 1.4079,                 1.3083,                 1.2994,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.2749,                 1.3806,                 1.3632,                0.74632,                 0.6222,                0.69397,                0.40483,                  1.425,                 1.3131,                 1.3231,               0.008119,               0.008119,               0.008119
                     40,                 1.2642,                 1.3869,                 1.3652,                0.74279,                0.62469,                0.69517,                 0.4053,                 1.4031,                 1.3061,                 1.2953,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.2738,                 1.3924,                 1.3672,                0.73166,                 0.6372,                0.70016,                0.40459,                 1.4187,                 1.2875,                 1.3085,                0.00802,                0.00802,                0.00802
                     42,                 1.2689,                  1.367,                 1.3634,                0.77374,                0.63661,                0.71304,                 0.4172,                 1.4204,                 1.2469,                 1.3205,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.2642,                 1.3651,                 1.3541,                0.72176,                 0.6473,                0.70593,                0.41031,                  1.429,                 1.2572,                 1.3078,               0.007921,               0.007921,               0.007921
                     44,                 1.2564,                 1.3547,                 1.3476,                0.74256,                0.64303,                  0.705,                0.41423,                 1.4142,                  1.243,                 1.2963,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.2556,                 1.3358,                 1.3525,                0.74123,                0.63449,                0.69966,                0.40468,                    1.4,                 1.2857,                 1.3057,               0.007822,               0.007822,               0.007822
                     46,                  1.268,                 1.3525,                 1.3578,                0.75415,                0.63592,                0.70926,                0.42496,                 1.3794,                 1.2385,                 1.2817,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2493,                 1.3458,                 1.3493,                0.76751,                0.63086,                0.70939,                0.41542,                 1.3946,                 1.2424,                 1.2836,               0.007723,               0.007723,               0.007723
                     48,                 1.2477,                 1.3471,                 1.3464,                0.76934,                0.62781,                0.71178,                0.39802,                 1.4633,                 1.2564,                 1.3295,              0.0076735,              0.0076735,              0.0076735
